size,random5,reversed5,almost_sorted5,random10,reversed10,almost_sorted10,random15,reversed15,almost_sorted15,random30,reversed30,almost_sorted30,random100,reversed100,almost_sorted100
8400,2518,2459,2449,2080,2015,2002,2076,2021,2015,1788,1751,1728,1414,1455,1294
8500,2626,2501,2510,2108,2050,2030,2101,2031,2020,1806,1758,1727,1435,1476,1312
8600,2618,2542,2528,2109,2043,2031,2111,2058,2045,1840,1788,1748,1452,1508,1338
8700,2689,2607,2602,2147,2079,2069,2141,2093,2072,1869,1811,1774,1474,1515,1351
8800,2726,2654,2632,2149,2087,2073,2149,2085,2078,1871,1825,1785,1484,1535,1363
8900,2778,2702,2716,2242,2111,2096,2170,2105,2103,1885,1839,1804,1500,1556,1372
9000,2827,2756,2737,2201,2129,2109,2195,2126,2122,1913,1863,1825,1522,1573,1398
9100,2883,2805,2785,2216,2145,2148,2240,2162,2142,1940,1894,1866,1555,1613,1416
9200,2965,2858,2855,2264,2180,2172,2264,2195,2189,1954,1911,1878,1569,1629,1427
9300,3032,2974,2924,2312,2250,2239,2287,2217,2195,1982,1922,1896,1589,1652,1440
9400,3084,2990,2985,2400,2337,2301,2308,2234,2231,1994,1954,1912,1604,1654,1447
9500,3110,3022,3002,2425,2355,2360,2322,2260,2240,2017,1973,1941,1621,1684,1476
9600,3183,3106,3081,2537,2439,2426,2352,2261,2245,2021,1986,1941,1654,1716,1497
9700,3248,3154,3127,2590,2515,2489,2374,2307,2278,2059,2024,1987,1670,1729,1511
9800,3318,3235,3235,2646,2562,2562,2399,2339,2339,2087,2047,2002,1672,1751,1521
9900,3357,3264,3241,2701,2620,2610,2418,2346,2321,2104,2048,2005,1692,1764,1540
10000,3400,3297,3295,2712,2656,2648,2387,2339,2332,2121,2073,1996,1684,1749,1500
