num_of_points,area
100,0.583328
600,0.777771
1100,0.98989
1600,0.923603
2100,0.976843
2600,0.93856
3100,0.853039
3600,0.988417
4100,0.962729
4600,0.919376
5100,0.928369
5600,0.956589
6100,0.933963
6600,0.985471
7100,0.910594
7600,0.958142
8100,0.894196
8600,0.9643
9100,0.957256
9600,0.932717
10100,0.948149
10600,0.916265
11100,0.99411
11600,0.976404
12100,1.01158
12600,0.93672
13100,0.958855
13600,0.945049
14100,0.951528
14600,0.904958
15100,0.93809
15600,0.932951
16100,0.965571
16600,0.966357
17100,0.921044
17600,0.977738
18100,0.963619
18600,0.93667
19100,0.96916
19600,0.930051
20100,0.964958
20600,0.929266
21100,0.923373
21600,0.896597
22100,0.913265
22600,0.927044
23100,0.952012
23600,0.933902
24100,0.944378
24600,0.95601
25100,0.929607
25600,0.921704
26100,0.934219
26600,0.955401
27100,0.937774
27600,0.917967
28100,0.932771
28600,0.934821
29100,0.972214
29600,0.928858
30100,0.956064
30600,0.958869
31100,0.952832
31600,0.962061
32100,0.945864
32600,0.944777
33100,0.964577
33600,0.958325
34100,0.94969
34600,0.942429
35100,0.947562
35600,0.955555
36100,0.955786
36600,0.949635
37100,0.925306
37600,0.975575
38100,0.910972
38600,0.969443
39100,0.922235
39600,0.927531
40100,0.945302
40600,0.932224
41100,0.93271
41600,0.938093
42100,0.933879
42600,0.932732
43100,0.916272
43600,0.947239
44100,0.939145
44600,0.939952
45100,0.954753
45600,0.980742
46100,0.947539
46600,0.947595
47100,0.944554
47600,0.925033
48100,0.945129
48600,0.930804
49100,0.941325
49600,0.953005
50100,0.938642
50600,0.94493
51100,0.941963
51600,0.937357
52100,0.929108
52600,0.945598
53100,0.963974
53600,0.949722
54100,0.936632
54600,0.945682
55100,0.955804
55600,0.945635
56100,0.93738
56600,0.946792
57100,0.935607
57600,0.933393
58100,0.939918
58600,0.947328
59100,0.976162
59600,0.926376
60100,0.934846
60600,0.929699
61100,0.936094
61600,0.923603
62100,0.938084
62600,0.948762
63100,0.932308
63600,0.94638
64100,0.945064
64600,0.961378
65100,0.930547
65600,0.944203
66100,0.937796
66600,0.92988
67100,0.935411
67600,0.947621
68100,0.940378
68600,0.961443
69100,0.964335
69600,0.940226
70100,0.929913
70600,0.945774
71100,0.944729
71600,0.93949
72100,0.944571
72600,0.941146
73100,0.956254
73600,0.962703
74100,0.949253
74600,0.953186
75100,0.939332
75600,0.951766
76100,0.943852
76600,0.951906
77100,0.937663
77600,0.950163
78100,0.945201
78600,0.942899
79100,0.948
79600,0.943756
80100,0.944176
80600,0.94242
81100,0.939007
81600,0.94207
82100,0.957767
82600,0.965269
83100,0.944252
83600,0.946513
84100,0.946088
84600,0.946587
85100,0.940454
85600,0.944387
86100,0.955163
86600,0.951108
87100,0.942411
87600,0.952015
88100,0.949812
88600,0.942367
89100,0.934896
89600,0.939011
90100,0.936282
90600,0.942167
91100,0.927178
91600,0.939736
92100,0.938012
92600,0.947856
93100,0.931383
93600,0.945831
94100,0.924894
94600,0.950837
95100,0.936842
95600,0.941298
96100,0.930836
96600,0.924509
97100,0.938872
97600,0.946514
98100,0.950312
98600,0.952888
99100,0.938858
99600,0.937561
